:START_ID,:END_ID,:TYPE
bls-15-1221.00,bls-15-1220,PART_OF
bls-15-1221.00,bls-15-1221,PART_OF
bls-15-1230,bls-15-0000,PART_OF
bls-15-1230,bls-15-1200,PART_OF
bls-15-1231,bls-15-0000,PART_OF
bls-15-1231,bls-15-1200,PART_OF
bls-15-1231,bls-15-1230,PART_OF
bls-15-1232,bls-15-0000,PART_OF
bls-15-1232,bls-15-1200,PART_OF
bls-15-1232,bls-15-1230,PART_OF
bls-15-1240,bls-15-0000,PART_OF
bls-15-1240,bls-15-1200,PART_OF
bls-15-1241,bls-15-0000,PART_OF
bls-15-1241,bls-15-1200,PART_OF
bls-15-1241,bls-15-1240,PART_OF
bls-15-1241.00,bls-15-0000,PART_OF
bls-15-1241.00,bls-15-1200,PART_OF
bls-15-1241.00,bls-15-1240,PART_OF
bls-15-1241.00,bls-15-1241,PART_OF
bls-15-1242,bls-15-0000,PART_OF
bls-15-1242,bls-15-1200,PART_OF
bls-15-1242,bls-15-1240,PART_OF
bls-15-1243,bls-15-0000,PART_OF
bls-15-1243,bls-15-1200,PART_OF
bls-15-1243,bls-15-1240,PART_OF
bls-15-1243.00,bls-15-0000,PART_OF
bls-15-1243.00,bls-15-1200,PART_OF
bls-15-1243.00,bls-15-1240,PART_OF
bls-15-1243.00,bls-15-1243,PART_OF
bls-15-1243.01,bls-15-0000,PART_OF
bls-15-1243.01,bls-15-1200,PART_OF
bls-15-1243.01,bls-15-1240,PART_OF
bls-15-1243.01,bls-15-1243,PART_OF
bls-15-1244,bls-15-0000,PART_OF
bls-15-1244,bls-15-1200,PART_OF
bls-15-1244,bls-15-1240,PART_OF
bls-15-1245,bls-15-0000,PART_OF
bls-15-1245,bls-15-1200,PART_OF
bls-15-1245,bls-15-1240,PART_OF
bls-15-1250,bls-15-0000,PART_OF
bls-15-1250,bls-15-1200,PART_OF
bls-15-1251,bls-15-0000,PART_OF
bls-15-1251,bls-15-1200,PART_OF
bls-15-1251,bls-15-1250,PART_OF
bls-15-1251.00,bls-15-0000,PART_OF
bls-15-1251.00,bls-15-1200,PART_OF
bls-15-1251.00,bls-15-1250,PART_OF
bls-15-1251.00,bls-15-1251,PART_OF
bls-15-1252,bls-15-0000,PART_OF
bls-15-1252,bls-15-1200,PART_OF
bls-15-1252,bls-15-1250,PART_OF
bls-15-1253,bls-15-0000,PART_OF
bls-15-1253,bls-15-1200,PART_OF
bls-15-1253,bls-15-1250,PART_OF
bls-15-1254,bls-15-0000,PART_OF
bls-15-1254,bls-15-1200,PART_OF
bls-15-1254,bls-15-1250,PART_OF
bls-15-1255,bls-15-0000,PART_OF
bls-15-1255,bls-15-1200,PART_OF
bls-15-1255,bls-15-1250,PART_OF
bls-15-1256,bls-15-0000,PART_OF
bls-15-1256,bls-15-1200,PART_OF
bls-15-1256,bls-15-1250,PART_OF
bls-15-1257,bls-15-0000,PART_OF
bls-15-1257,bls-15-1200,PART_OF
bls-15-1257,bls-15-1250,PART_OF
bls-15-1259,bls-15-0000,PART_OF
bls-15-1259,bls-15-1200,PART_OF
bls-15-1290,bls-15-0000,PART_OF
bls-15-1290,bls-15-1200,PART_OF
bls-15-1299,bls-15-0000,PART_OF
bls-15-1299,bls-15-1200,PART_OF
bls-15-1299,bls-15-1290,PART_OF
bls-15-1299.08,bls-15-0000,PART_OF
bls-15-1299.08,bls-15-1200,PART_OF
bls-15-1299.08,bls-15-1290,PART_OF
bls-15-1299.08,bls-15-1299,PART_OF
bls-15-2021,bls-15-0000,PART_OF
bls-15-2021,bls-15-2000,PART_OF
bls-15-2021,bls-15-2020,PART_OF
bls-15-2030,bls-15-0000,PART_OF
bls-15-2030,bls-15-2000,PART_OF
bls-15-2031,bls-15-0000,PART_OF
bls-15-2031,bls-15-2000,PART_OF
bls-15-2031,bls-15-2030,PART_OF
bls-15-2031.00,bls-15-0000,PART_OF
bls-15-2031.00,bls-15-2000,PART_OF
bls-15-2031.00,bls-15-2030,PART_OF
bls-15-2031.00,bls-15-2031,PART_OF
bls-15-2040,bls-15-0000,PART_OF
bls-15-2040,bls-15-2000,PART_OF
bls-15-2041,bls-15-0000,PART_OF
bls-15-2041,bls-15-2000,PART_OF
bls-15-2041,bls-15-2040,PART_OF
bls-15-2041.00,bls-15-0000,PART_OF
bls-15-2041.00,bls-15-2000,PART_OF
bls-15-2041.00,bls-15-2040,PART_OF
bls-15-2041.00,bls-15-2041,PART_OF
bls-15-2050,bls-15-0000,PART_OF
bls-15-2050,bls-15-2000,PART_OF
bls-15-2051,bls-15-0000,PART_OF
bls-15-2051,bls-15-2000,PART_OF
bls-15-2051,bls-15-2050,PART_OF
bls-15-2090,bls-15-0000,PART_OF
bls-15-2090,bls-15-2000,PART_OF
bls-17-2080,bls-17-0000,PART_OF
bls-17-2080,bls-17-2000,PART_OF
bls-17-2081,bls-17-0000,PART_OF
bls-17-2081,bls-17-2000,PART_OF
bls-17-2081,bls-17-2080,PART_OF
bls-17-2081.00,bls-17-0000,PART_OF
bls-17-2081.00,bls-17-2000,PART_OF
bls-17-2081.00,bls-17-2080,PART_OF
bls-17-2081.00,bls-17-2081,PART_OF
bls-17-2081.01,bls-17-0000,PART_OF
bls-17-2081.01,bls-17-2000,PART_OF
bls-17-2081.01,bls-17-2080,PART_OF
bls-17-2081.01,bls-17-2081,PART_OF
bls-17-2110,bls-17-0000,PART_OF
bls-17-2110,bls-17-2000,PART_OF
bls-17-2111,bls-17-0000,PART_OF
bls-17-2111,bls-17-2000,PART_OF
bls-17-2111,bls-17-2110,PART_OF
bls-17-2111.00,bls-17-0000,PART_OF
bls-17-2111.00,bls-17-2000,PART_OF
bls-17-2111.00,bls-17-2110,PART_OF
bls-17-2111.00,bls-17-2111,PART_OF
bls-17-2111.01,bls-17-0000,PART_OF
bls-17-2111.01,bls-17-2000,PART_OF
bls-17-2111.01,bls-17-2110,PART_OF
bls-17-2111.01,bls-17-2111,PART_OF
bls-17-2111.02,bls-17-0000,PART_OF
bls-17-2111.02,bls-17-2000,PART_OF
bls-17-2111.02,bls-17-2110,PART_OF
bls-17-2111.02,bls-17-2111,PART_OF
bls-17-2111.03,bls-17-0000,PART_OF
bls-17-2111.03,bls-17-2000,PART_OF
bls-17-2111.03,bls-17-2110,PART_OF
bls-17-2111.03,bls-17-2111,PART_OF
bls-17-2112,bls-17-0000,PART_OF
bls-17-2112,bls-17-2000,PART_OF
bls-17-2112,bls-17-2110,PART_OF
bls-17-2112.00,bls-17-0000,PART_OF
bls-17-2112.00,bls-17-2000,PART_OF
bls-17-2112.00,bls-17-2110,PART_OF
bls-17-2112.00,bls-17-2112,PART_OF
bls-17-2112.01,bls-17-0000,PART_OF
bls-17-2112.01,bls-17-2000,PART_OF
bls-17-2112.01,bls-17-2110,PART_OF
bls-17-2112.01,bls-17-2112,PART_OF
bls-17-2190,bls-17-0000,PART_OF
bls-17-2190,bls-17-2000,PART_OF
bls-17-2199,bls-17-0000,PART_OF
bls-17-2199,bls-17-2000,PART_OF
bls-17-2199,bls-17-2190,PART_OF
bls-17-2199.00,bls-17-0000,PART_OF
bls-17-2199.00,bls-17-2000,PART_OF
bls-17-2199.00,bls-17-2190,PART_OF
bls-17-2199.00,bls-17-2199,PART_OF
bls-17-2199.01,bls-17-0000,PART_OF
bls-17-2199.01,bls-17-2000,PART_OF
bls-17-2199.01,bls-17-2190,PART_OF
bls-17-2199.01,bls-17-2199,PART_OF
bls-17-2199.02,bls-17-0000,PART_OF
bls-17-2199.02,bls-17-2000,PART_OF
bls-17-2199.02,bls-17-2190,PART_OF
bls-17-2199.02,bls-17-2199,PART_OF
bls-17-2199.03,bls-17-0000,PART_OF
bls-17-2199.03,bls-17-2000,PART_OF
bls-17-2199.03,bls-17-2190,PART_OF
