:ID,:LABEL,title,identifier
col-52d5819f-3143-4a99-a344-0c87704bdb4b,Collection,USAF Logistic Plans Specialist,52d5819f-3143-4a99-a344-0c87704bdb4b
col-52e2d443-9886-49b1-bf65-c616b052f4d2,Collection,Healthy Learning Strategies_Dec.2023,52e2d443-9886-49b1-bf65-c616b052f4d2
col-53caa073-aead-4a6a-8250-04d82360ab45,Collection,People Development - Faculty and Staff_JUL.2023,53caa073-aead-4a6a-8250-04d82360ab45
col-54d65c15-2f4a-4bfd-b321-5212f21fd4a5,Collection,Strategic Thinking,54d65c15-2f4a-4bfd-b321-5212f21fd4a5
col-55884b0f-a0c5-40c3-afe7-2a5cff1e8245,Collection,Character Core: Career Readiness_July.2023,55884b0f-a0c5-40c3-afe7-2a5cff1e8245
col-58091184-a788-40f3-8709-39a8a0f22213,Collection,"Personal Service Managers, All Other_Jun.2023",58091184-a788-40f3-8709-39a8a0f22213
col-5891c84d-a84a-42b4-8474-88eca05649f4,Collection,Financial Analysts and Advisors_MAR.2023,5891c84d-a84a-42b4-8474-88eca05649f4
col-5d3950da-3cd5-4022-9c3e-5c98b209115d,Collection,"Software and Web Developers, Programmers, and Testers (SOC Code: 15-1250)",5d3950da-3cd5-4022-9c3e-5c98b209115d
col-5e11d83b-dacf-4c94-9180-7ff67bd7ef43,Collection,Business Administration Master Skills_Mar.2023,5e11d83b-dacf-4c94-9180-7ff67bd7ef43
col-5e22819e-5264-4122-b118-024b8922d637,Collection,Financial Managers_Dec.2022,5e22819e-5264-4122-b118-024b8922d637
col-5ee310e2-9d62-4da9-8202-d009becf6245,Collection,Computer Network Support Specialists_March.2023,5ee310e2-9d62-4da9-8202-d009becf6245
col-5f9cccf4-dd6a-4e4b-a1d7-8ec9bbe65725,Collection,Expedia Draft,5f9cccf4-dd6a-4e4b-a1d7-8ec9bbe65725
col-61b8a8ac-42bc-4efa-b4bb-0f4593201fd6,Collection,Other Teachers and Instructors_Dec.2022,61b8a8ac-42bc-4efa-b4bb-0f4593201fd6
col-61c1ba5e-fb70-4d1e-9ad7-0c0f1bdd18c0,Collection,Retail Sales Manager_Apr.2023,61c1ba5e-fb70-4d1e-9ad7-0c0f1bdd18c0
col-62167d84-14d9-47dd-85b4-9b267883bd07,Collection,People Development Partner_JUNE.2023,62167d84-14d9-47dd-85b4-9b267883bd07
col-6216d517-10fb-4fc0-8c36-9575b9265910,Collection,Trauma-Informed Teaching Practices_Jan.2024,6216d517-10fb-4fc0-8c36-9575b9265910
col-62df347a-5c17-4b41-b992-0eadaa427cd5,Collection,USAF Safety Professionals,62df347a-5c17-4b41-b992-0eadaa427cd5
col-63ec8edc-a1c2-494b-af5e-7c91ac722361,Collection,Principled Leadership Development,63ec8edc-a1c2-494b-af5e-7c91ac722361
col-644c28c1-9952-445e-9239-e65b6bd776f7,Collection,Innovation,644c28c1-9952-445e-9239-e65b6bd776f7
col-644da753-774b-4b05-b828-3a224ffa043c,Collection,MAT202: Statistics,644da753-774b-4b05-b828-3a224ffa043c
col-65177d7d-9165-42f0-be26-7e8965572821,Collection,DRAFT Masters of Public Health,65177d7d-9165-42f0-be26-7e8965572821
col-65a70c64-95c2-4655-8f4a-b03d253dae51,Collection,WGU Cultural Beliefs_Sept. 2023,65a70c64-95c2-4655-8f4a-b03d253dae51
col-6642cf6a-6960-4753-a1a1-044a7f012275,Collection,Forensic Science Technicians_MAR.2023,6642cf6a-6960-4753-a1a1-044a7f012275
col-6c063cdc-bbbf-4cf5-ac26-67e494a3cab8,Collection,Marketing_March.2022,6c063cdc-bbbf-4cf5-ac26-67e494a3cab8
col-6d119522-5ba8-4d8a-8b2a-625c5bedfb63,Collection,Dyslexia Education_Nov.2023,6d119522-5ba8-4d8a-8b2a-625c5bedfb63
col-6d51b268-1953-4952-bc5e-739b29892a43,Collection,Online Pedagogy_Nov.2023,6d51b268-1953-4952-bc5e-739b29892a43
col-6de62ad0-4a4c-4076-b3e1-65b991474b09,Collection,Computer and Information Analysts_Dec.2022,6de62ad0-4a4c-4076-b3e1-65b991474b09
col-6e219577-8a40-4c95-b52a-c3dddc1a4005,Collection,Generative Artificial Intelligence (AI),6e219577-8a40-4c95-b52a-c3dddc1a4005
col-6faf45a9-7b18-48bf-bb9f-4dd43e2d0e8a,Collection,Training and Development Specialists_FEB. 2023,6faf45a9-7b18-48bf-bb9f-4dd43e2d0e8a
col-701709c6-cdcb-4591-9a69-1a99db829eee,Collection,Budget Analysts_Jan.2023,701709c6-cdcb-4591-9a69-1a99db829eee
col-718ab258-969e-43df-ba57-ff6fc0211267,Collection,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors_April 2023",718ab258-969e-43df-ba57-ff6fc0211267
col-7299e6a4-a679-4e2f-a604-b6ec696a0497,Collection,Police Officers_JUNE.2023,7299e6a4-a679-4e2f-a604-b6ec696a0497
col-72a0b8b8-0f45-4f17-8640-321884958621,Collection,ProCore Grad_SoE.Apr.2023,72a0b8b8-0f45-4f17-8640-321884958621
col-734b8604-3c73-4503-b6b4-07b75e7e90cf,Collection,Miscellaneous Engineers_MAY.2023,734b8604-3c73-4503-b6b4-07b75e7e90cf
col-758bbdd3-f64a-4682-abdb-0f4da5a49112,Collection,Home Health and Personal Care Aides_Mar.2023,758bbdd3-f64a-4682-abdb-0f4da5a49112
col-760e713b-e193-492a-9beb-dc6775adf947,Collection,Data Mining and Analytics_Nov.2023,760e713b-e193-492a-9beb-dc6775adf947
col-77ada78d-46c9-4f85-8987-e258666ef0aa,Collection,GE Framework,77ada78d-46c9-4f85-8987-e258666ef0aa
col-7826aee6-7147-4bc5-bdf3-0557fc321152,Collection,Educational Research_Apr.2023,7826aee6-7147-4bc5-bdf3-0557fc321152
col-788e520c-a60c-44fb-b378-f213b37c97ee,Collection,Environmental Engineers_APRIL.2023,788e520c-a60c-44fb-b378-f213b37c97ee
col-78d600af-03fc-4c2c-a024-510711ea47cc,Collection,Early Childhood Education_Nov.2023,78d600af-03fc-4c2c-a024-510711ea47cc
